category,prompt,position,seq_len,d_eff,H_p,d_eff_tempered,H_p_tempered,spectral_anisotropy,trace_G,top_eig_1,top_eig_2,top_eig_5
creative,"In a world where shadows could speak, the first words they uttered were",0,14,3.0461649894714355,3.5214977264404297,5.13222599029541,9.516958236694336,912.5867309570312,1.8078954219818115,0.644477128982544,0.232523575425148,0.07139506191015244
creative,"In a world where shadows could speak, the first words they uttered were",1,14,4.520323753356934,5.4564924240112305,5.688080310821533,9.246665954589844,450.0303649902344,2.170452117919922,0.38155055046081543,0.15922333300113678,0.06767953932285309
creative,"In a world where shadows could speak, the first words they uttered were",2,14,2.4915318489074707,1.9467201232910156,4.886615753173828,8.02276611328125,1058.921142578125,1.2533055543899536,0.5184186100959778,0.18064168095588684,0.06681933999061584
creative,"In a world where shadows could speak, the first words they uttered were",3,14,4.806805610656738,5.816048622131348,5.678376197814941,9.13972282409668,274.6225280761719,2.161358594894409,0.231858491897583,0.16902253031730652,0.06543204188346863
creative,"In a world where shadows could speak, the first words they uttered were",4,14,3.076904058456421,3.395188331604004,5.034811019897461,8.09349250793457,664.3700561523438,2.159266710281372,0.5603719353675842,0.29187771677970886,0.09129662066698074
creative,"In a world where shadows could speak, the first words they uttered were",5,14,3.7384204864501953,3.7240607738494873,5.405369758605957,7.754247665405273,673.9406127929688,2.0859556198120117,0.5491446256637573,0.19329547882080078,0.062000855803489685
creative,"In a world where shadows could speak, the first words they uttered were",6,14,1.5720773935317993,1.9333657026290894,4.161813735961914,7.651586055755615,1411.6607666015625,1.8019267320632935,0.993636429309845,0.3706238567829132,0.023635031655430794
creative,"In a world where shadows could speak, the first words they uttered were",7,14,3.010373115539551,3.360564708709717,5.176266670227051,9.452049255371094,763.5314331054688,1.5906496047973633,0.4744183421134949,0.3098076283931732,0.04360223934054375
creative,"In a world where shadows could speak, the first words they uttered were",8,14,5.000316619873047,6.944948196411133,5.658687114715576,9.694618225097656,205.27279663085938,2.4534518718719482,0.19672927260398865,0.12479374557733536,0.06807494908571243
creative,"In a world where shadows could speak, the first words they uttered were",9,14,4.506474018096924,5.756937026977539,5.5920281410217285,9.4847412109375,264.2171325683594,2.5269978046417236,0.2608110010623932,0.21020768582820892,0.1097605898976326
creative,"In a world where shadows could speak, the first words they uttered were",10,14,3.4255809783935547,3.9305009841918945,5.19069766998291,9.049542427062988,690.2625122070312,1.9488085508346558,0.525464653968811,0.2022983282804489,0.09913525730371475
creative,"In a world where shadows could speak, the first words they uttered were",11,14,2.698734760284424,2.576446533203125,4.958047866821289,7.854260444641113,728.6036987304688,1.6807090044021606,0.4783479571342468,0.28729087114334106,0.09770403057336807
creative,"In a world where shadows could speak, the first words they uttered were",12,14,3.4801430702209473,2.748185634613037,5.344054698944092,8.135103225708008,860.895751953125,1.3734084367752075,0.46185997128486633,0.09804500639438629,0.052806008607149124
creative,"In a world where shadows could speak, the first words they uttered were",13,14,3.716867446899414,4.286149978637695,5.246001243591309,8.778451919555664,592.25244140625,2.1141366958618164,0.4891026020050049,0.1757553517818451,0.10184302181005478
creative,She opened the ancient book and the pages began to glow with a light that,0,15,4.793003559112549,5.679116249084473,5.487389087677002,9.288947105407715,257.5549011230469,1.8895496129989624,0.19010265171527863,0.09104657918214798,0.056458886712789536
creative,She opened the ancient book and the pages began to glow with a light that,1,15,1.761040449142456,1.6783744096755981,4.684735298156738,9.037564277648926,1273.8681640625,1.0641651153564453,0.5295336246490479,0.25128862261772156,0.022334972396492958
creative,She opened the ancient book and the pages began to glow with a light that,2,15,3.777214765548706,4.34454870223999,5.4678449630737305,9.258834838867188,580.9117431640625,2.2271556854248047,0.5053831934928894,0.2656143307685852,0.1083659678697586
creative,She opened the ancient book and the pages began to glow with a light that,3,15,3.136848211288452,3.16965651512146,5.249399185180664,8.912105560302734,787.1082763671875,1.9445027112960815,0.5978649258613586,0.27621322870254517,0.08565139770507812
creative,She opened the ancient book and the pages began to glow with a light that,4,15,2.298818588256836,1.6302707195281982,4.666996955871582,7.6822590827941895,1009.140869140625,0.7306411266326904,0.28801554441452026,0.1683790683746338,0.018406646326184273
creative,She opened the ancient book and the pages began to glow with a light that,5,15,2.4689626693725586,2.525207281112671,4.829155445098877,7.697373390197754,820.529296875,1.6260530948638916,0.5211813449859619,0.2909732758998871,0.09804655611515045
creative,She opened the ancient book and the pages began to glow with a light that,6,15,4.3114776611328125,5.167204856872559,5.568333148956299,9.175836563110352,362.3210144042969,2.4506301879882812,0.3468417227268219,0.3116985261440277,0.06275086849927902
creative,She opened the ancient book and the pages began to glow with a light that,7,15,3.0790276527404785,2.9661316871643066,4.993142604827881,7.868779182434082,526.6494140625,1.846500039100647,0.37986648082733154,0.3140103220939636,0.09749828279018402
creative,She opened the ancient book and the pages began to glow with a light that,8,15,1.4802522659301758,0.10182075202465057,4.131347179412842,6.894044876098633,1916.8077392578125,0.06323632597923279,0.04734839126467705,0.004418376833200455,0.0007604965358041227
creative,She opened the ancient book and the pages began to glow with a light that,9,15,2.493621826171875,1.1856739521026611,4.991152763366699,7.558908462524414,1226.7662353515625,0.8393262028694153,0.4022097885608673,0.12046004831790924,0.020643172785639763
creative,She opened the ancient book and the pages began to glow with a light that,10,15,1.6353657245635986,1.397193193435669,4.170818328857422,7.037320613861084,1546.2100830078125,0.8046453595161438,0.48599639534950256,0.10215228796005249,0.014844653196632862
creative,She opened the ancient book and the pages began to glow with a light that,11,15,1.9239015579223633,0.9874866008758545,4.351934432983398,7.202779769897461,1115.8634033203125,0.5444614887237549,0.237322136759758,0.15130752325057983,0.007245964370667934
creative,She opened the ancient book and the pages began to glow with a light that,12,15,2.158851385116577,2.2345376014709473,4.458093643188477,6.799810409545898,1103.204345703125,1.798954963684082,0.7752402424812317,0.28137245774269104,0.0812128484249115
creative,She opened the ancient book and the pages began to glow with a light that,13,15,2.309999942779541,2.1512575149536133,4.695328712463379,8.052103042602539,875.10400390625,1.423170566558838,0.4864930808544159,0.2942422926425934,0.06424243003129959
creative,She opened the ancient book and the pages began to glow with a light that,14,15,3.2055273056030273,3.376636505126953,5.210576057434082,8.578453063964844,635.0926513671875,1.9445126056671143,0.48240065574645996,0.29176416993141174,0.08470360934734344
creative,The last painter on Earth mixed colors that no human eye had ever,0,13,5.565731525421143,8.08064079284668,5.861108779907227,10.081334114074707,116.70050811767578,2.452695846557617,0.11180892586708069,0.07306132465600967,0.038398951292037964
creative,The last painter on Earth mixed colors that no human eye had ever,1,13,4.6320061683654785,6.052358627319336,5.646101474761963,9.732940673828125,305.93560791015625,2.3809096813201904,0.28453323245048523,0.1615283489227295,0.07869137078523636
