probe_category,probe_text,d_fr
finance, is offering competitive,0.0
finance, reported quarterly earnings,0.0
finance, announced new interest,0.0
finance, has increased its lending,0.0
finance, stock price fell,0.0
finance, manager recommended,0.0006905339541845024
finance, account balance showed,0.0
finance, loan application was,0.0006905339541845024
nature, was covered in wildflowers,0.0009765625
nature, eroded after the heavy,0.0006905339541845024
nature, provided habitat for,0.0
nature, along the river was,0.0
nature, of the creek was,0.0
nature, was shaded by tall,0.0
nature, flooded during the spring,0.0
nature, slopes were covered in,0.0
neutral, was located near the,0.0
neutral, had been there for,0.0
neutral, is one of the most,0.0
neutral, was recently in the,0.0006905339541845024
neutral, seemed different from,0.0
neutral, that we visited last,0.0
neutral, is not what you,0.0013810679083690047
neutral, could be described as,0.0
minimal, is,0.0
minimal, was,0.0
minimal, can be,0.0
minimal, often,0.0
minimal, near,0.0006905339541845024
minimal, in the,0.0009765625
